# awk 'BEGIN{for(i=1; i<100; i++){x=i/10; y=3+2.2*x+0.017*x^3; print x" "y}}' 
0.1 3.22002
0.2 3.44014
0.3 3.66046
0.4 3.88109
0.5 4.10213
0.6 4.32367
0.7 4.54583
0.8 4.7687
0.9 4.99239
1 5.217
1.1 5.44263
1.2 5.66938
1.3 5.89735
1.4 6.12665
1.5 6.35738
1.6 6.58963
1.7 6.82352
1.8 7.05914
1.9 7.2966
2 7.536
2.1 7.77744
2.2 8.02102
2.3 8.26684
2.4 8.51501
2.5 8.76562
2.6 9.01879
2.7 9.27461
2.8 9.53318
2.9 9.79461
3 10.059
3.1 10.3264
3.2 10.5971
3.3 10.8709
3.4 11.1482
3.5 11.4289
3.6 11.7132
3.7 12.0011
3.8 12.2928
3.9 12.5884
4 12.888
4.1 13.1917
4.2 13.4995
4.3 13.8116
4.4 14.1281
4.5 14.4491
4.6 14.7747
4.7 15.105
4.8 15.4401
4.9 15.78
5 16.125
5.1 16.4751
5.2 16.8303
5.3 17.1909
5.4 17.5569
5.5 17.9284
5.6 18.3055
5.7 18.6883
5.8 19.0769
5.9 19.4714
6 19.872
6.1 20.2787
6.2 20.6916
6.3 21.1108
6.4 21.5364
6.5 21.9686
6.6 22.4074
6.7 22.853
6.8 23.3053
6.9 23.7647
7 24.231
7.1 24.7045
7.2 25.1852
7.3 25.6733
7.4 26.1688
7.5 26.6719
7.6 27.1826
7.7 27.7011
7.8 28.2274
7.9 28.7617
8 29.304
8.1 29.8545
8.2 30.4133
8.3 30.9804
8.4 31.556
8.5 32.1401
8.6 32.733
8.7 33.3346
8.8 33.945
8.9 34.5645
9 35.193
9.1 35.8307
9.2 36.4777
9.3 37.1341
9.4 37.7999
9.5 38.4754
9.6 39.1605
9.7 39.8554
9.8 40.5603
9.9 41.2751
